Day,January,February,March,April,May,June,July,August,September,October,November,December
1,82,56,34,30,39,44,30,44,67,52,124,77
2,104,62,40,34,42,40,31,34,52,94,108,76
3,120,42,56,32,49,37,31,35,57,111,133,95
4,94,39,29,44,56,40,31,32,67,119,117,64
5,68,47,23,43,67,41,34,42,75,94,79,42
6,61,42,30,36,60,45,34,54,43,106,76,46
7,55,48,32,41,37,50,33,37,81,68,70,44
8,54,48,24,31,29,57,32,53,88,102,60,69
9,59,55,24,29,28,48,45,54,63,101,54,46
10,48,139,30,34,27,59,37,48,47,89,64,56
11,37,133,36,40,30,44,42,48,45,98,86,45
12,57,117,39,30,38,52,55,41,57,86,89,46
13,63,42,38,35,29,55,54,66,58,58,78,57
14,62,32,41,35,32,46,50,93,78,74,85,47
15,64,33,44,36,39,57,60,51,74,54,106,56
16,80,41,35,35,44,50,43,80,68,92,80,71
17,55,48,38,37,47,48,45,58,51,78,82,91
18,56,48,57,36,31,48,57,45,63,71,108,113
19,64,39,48,35,31,35,64,35,73,73,114,143
20,75,36,24,32,36,30,55,45,69,85,124,72
21,53,28,21,40,29,29,44,60,86,74,118,70
22,79,22,26,34,30,32,48,68,83,81,114,59
23,71,26,31,28,29,34,47,37,86,86,135,56
24,72,34,34,27,29,37,43,35,90,77,132,53
25,73,32,45,38,34,38,57,50,130,34,82,46
26,76,46,29,35,36,31,67,49,34,39,66,58
27,66,48,32,29,31,32,76,41,33,35,84,77
28,73,22,38,31,33,33,48,45,48,49,67,46
29,63,28,32,38,45,35,59,62,36,86,80,50
30,74,,46,45,61,30,58,59,48,67,78,30
31,95,,30,,48,,45,100,,80,,30
 ,,,,,,,,,,,,
Good,2,23,29,30,27,25,20,18,8,4,,12
Satisfactory,27,3,2,,4,5,11,13,21,22,18,17
Moderate,2,3,,,,,,,1,5,12,2
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,100,100,100,100,100,100
