Date,January,February,March,April,May,June,July,August,September,October,November,December
01,369,196,310,131,98,131,126,68,91,170,217,
02,323,142,324,155,123,143,94,101,80,256,208,352
03,308,223,211,193,114,171,102,101,62,224,237,348
04,266,219,219,197,107,172,72,,61,202,246,331
05,325,132,240,,126,174,77,,87,184,290,357
06,278,221,183,132,210,196,104,177,87,197,307,360
07,,119,162,160,250,252,128,96,72,247,,369
08,356,178,236,120,234,194,106,72,78,230,,354
09,297,234,234,,184,157,83,75,132,254,344,353
10,324,241,210,167,201,189,66,125,230,266,368,397
11,362,288,190,162,224,111,77,137,206,234,,342
12,326,290,227,138,195,211,60,88,211,100,,373
13,285,220,184,,163,190,70,67,187,164,352,393
14,464,296,240,,104,250,56,95,178,198,328,343
15,415,174,341,,101,272,58,65,252,269,350,311
16,384,271,221,,160,262,75,59,218,256,326,309
17,398,283,206,,139,165,75,67,,268,278,346
18,430,257,200,,163,131,66,130,204,263,326,368
19,419,365,223,,211,148,76,112,208,227,370,313
20,375,279,277,,176,184,76,63,221,214,367,349
21,294,294,254,,237,184,89,59,63,291,376,378
22,321,332,269,,244,232,60,68,91,238,347,368
23,262,286,240,,175,186,58,64,186,203,348,410
24,141,315,225,232,171,230,50,144,156,216,316,384
25,113,322,210,281,199,243,61,90,133,259,269,372
26,138,370,176,282,235,165,78,38,120,288,307,340
27,140,232,216,229,255,102,100,53,123,267,363,
28,183,281,267,242,201,56,135,71,184,284,332,330
29,272,,360,247,174,95,144,90,234,252,344,351
30,171,,207,221,158,101,,116,172,207,384,394
31,179,,178,,169,,,82,,210,,397
