Day,January,February,March,April,May,June,July,August,September,October,November,December
1,106,39,66,35,59,78,34,32,58,18,89,61
2,70,42,66,61,49,75,32,42,64,23,66,57
3,68,44,54,52,50,86,42,34,54,25,67,61
4,74,49,51,78,49,112,40,32,40,28,78,60
5,82,45,50,66,52,72,38,33,26,28,86,31
6,80,55,52,82,55,107,45,28,24,28,108,46
7,86,58,70,76,60,100,32,24,24,33,100,27
8,110,48,54,90,73,100,32,35,23,80,93,36
9,106,51,46,100,70,109,42,83,23,77,121,56
10,84,74,49,94,62,100,32,47,24,58,130,84
11,86,76,48,87,70,92,32,46,34,50,161,70
12,73,49,60,88,82,93,39,55,35,66,108,109
13,80,48,66,98,81,110,44,41,43,68,192,88
14,79,50,101,98,79,81,38,57,29,80,78,75
15,48,62,91,104,76,74,30,45,27,70,64,75
16,47,94,99,87,89,70,32,41,28,83,75,92
17,101,82,71,99,91,71,31,47,30,46,82,93
18,121,84,86,97,89,74,33,29,27,40,66,90
19,117,85,56,84,73,72,34,29,28,52,70,83
20,149,76,46,85,71,57,31,26,27,61,72,89
21,74,71,56,71,74,56,28,39,26,79,78,85
22,101,61,46,52,82,46,30,39,25,79,70,108
23,73,50,53,56,68,60,31,24,26,80,94,122
24,78,55,82,66,53,51,36,27,26,78,98,113
25,79,64,78,64,67,50,33,29,28,70,94,83
26,70,73,80,104,62,42,32,47,28,70,97,84
27,40,69,50,62,66,41,29,65,42,74,92,96
28,51,82,75,65,79,41,34,181,40,80,113,96
29,68,,75,50,83,36,34,64,48,77,72,80
30,71,,96,47,96,36,37,47,46,80,80,80
31,54,,56,,85,,36,44,,84,,82
 ,,,,,,,,,,,,
Good,3,10,7,3,3,7,31,25,27,10,,4
Satisfactory,20,18,23,25,28,19,,5,3,21,23,23
Moderate,8,,1,2,,4,,1,,,7,4
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,100,100,100,100,100,100,100,100
