Day,January,February,March,April,May,June,July,August,September,October,November,December
1,254,288,240,225,196,126,86,26,48,22,104,201
2,238,278,181,276,153,79,67,46,60,22,127,241
3,242,291,215,262,145,,64,44,73,39,137,226
4,180,267,208,192,112,127,74,57,50,40,194,218
5,313,203,201,206,91,156,74,58,51,70,256,208
6,339,155,204,199,80,138,48,43,80,76,198,140
7,,189,259,234,102,150,75,50,51,90,267,108
8,179,213,231,,96,171,97,44,36,78,338,104
9,199,267,257,219,79,136,50,32,38,124,345,149
10,150,274,258,234,128,120,58,31,54,148,318,189
11,180,289,280,258,98,156,71,38,53,144,293,122
12,182,264,238,251,111,68,44,44,37,118,203,133
13,244,286,186,251,45,61,50,74,31,115,236,198
14,285,264,197,190,111,66,55,80,30,83,263,145
15,240,268,226,216,178,56,46,83,16,84,252,181
16,230,259,251,213,196,73,60,75,25,76,252,168
17,209,214,316,259,148,94,80,74,32,47,216,153
18,191,203,258,251,,193,41,56,38,27,240,105
19,337,,273,138,,28,46,39,82,28,255,91
20,348,,228,173,35,33,38,30,61,34,246,149
21,317,257,189,172,44,57,36,32,47,60,189,206
22,304,230,230,173,144,69,50,51,57,73,192,166
23,276,220,226,229,154,56,47,36,37,80,125,171
24,296,194,255,215,233,42,30,54,34,99,142,224
25,326,152,201,173,218,58,38,47,55,114,168,140
26,212,159,204,248,67,36,51,49,56,84,244,224
27,278,134,181,223,37,35,35,70,52,75,280,184
28,346,149,176,240,28,69,27,50,38,95,268,156
29,291,,276,226,27,102,34,51,44,109,238,79
30,239,,173,173,51,90,32,31,32,98,142,61
31,247,,214,,113,,31,38,,82,,104
 ,,,,,,,,,,,,
Good,,,,,6,5,18,19,17,8,,
Satisfactory,,,,,7,13,13,12,13,16,,3
Moderate,7,7,7,9,14,11,,,,7,11,20
Poor,15,19,23,20,2,,,,,,16,8
Very poor,8,,1,,,,,,,,3,
Severe,,,,,,,,,,,,
,1,2,,1,2,1,,,,,,
SP,,,,,,,,,,,,
% of Availability,96,92,100,96,93,96,100,100,100,100,100,100
