Date,January,February,March,April,May,June,July,August,September,October,November,December
01,403,303,156,230,258,,119,64,94,,361,263
02,444,376,253,224,185,235,87,87,121,138,328,284
03,426,365,247,228,202,226,90,,92,45,332,335
04,343,354,214,213,165,233,152,,56,90,354,325
05,351,346,267,203,268,170,85,,61,85,306,315
06,306,377,176,219,248,159,80,,108,162,257,352
07,187,302,160,226,234,141,42,,70,163,233,304
08,318,284,217,201,311,142,38,,61,220,311,306
09,318,280,,198,,186,,44,47,185,231,320
10,343,237,246,167,316,,74,76,68,225,189,335
11,382,274,252,173,289,240,85,118,73,160,181,354
12,342,311,268,232,182,214,166,99,54,194,267,344
13,328,351,272,267,249,212,224,45,55,196,299,268
14,341,354,233,336,283,261,241,69,65,234,301,100
15,197,316,214,320,219,266,235,52,104,198,271,163
16,249,207,240,311,256,267,177,76,145,235,212,153
17,325,,217,273,269,,113,88,70,240,312,242
18,323,257,234,160,290,,195,,,215,,266
19,325,227,257,219,193,183,212,46,,159,249,
20,322,310,242,184,225,204,165,,85,187,233,
21,300,280,338,213,234,137,142,,109,213,282,
22,331,263,223,231,294,188,,78,53,276,304,
23,311,233,170,215,307,102,117,84,78,248,330,
24,207,174,171,160,182,,78,115,52,245,298,304
25,320,277,244,225,200,249,77,109,41,65,249,292
26,246,236,241,264,223,265,49,116,25,87,388,290
27,196,176,160,322,217,154,87,83,,153,,308
28,279,122,271,317,249,154,50,94,,287,,342
29,259,,248,257,257,158,53,81,,274,366,
30,266,,264,312,249,183,48,74,,256,321,
31,333,,285,,227,,58,86,,317,,
