Day,January,February,March,April,May,June,July,August,September,October,November,December
1,30,50,58,,,,,,,,,
2,42,62,56,,,,,,,,,
3,63,40,45,,,,,,,,,
4,60,43,43,,,,,,,,,
5,60,59,47,,,,,,,,,
6,69,44,44,,,,,,,,,
7,48,37,46,,,,,,,,,
8,32,38,60,,,,,,,,,
9,55,46,87,,,,,,,,,
10,70,50,68,,,,,,,,,
11,68,55,78,,,,,,,,,
12,51,42,56,,,,,,,,,
13,53,40,87,,,,,,,,,
14,49,36,157,,,,,,,,,
15,58,39,78,,,,,,,,,
16,43,48,105,,,,,,,,,
17,73,52,54,,,,,,,,,
18,40,55,58,,,,,,,,,
19,40,57,66,,,,,,,,,
20,37,51,90,,,,,,,,,
21,34,77,52,,,,,,,,,
22,32,80,49,,,,,,,,,
23,51,50,73,,,,,,,,,
24,50,52,88,,,,,,,,,
25,34,48,101,,,,,,,,,
26,34,68,94,,,,,,,,,
27,39,51,92,,,,,,,,,
28,43,66,72,,,,,,,,,
29,56,,77,,,,,,,,,
30,74,,68,,,,,,,,,
31,78,,82,,,,,,,,,
 ,,,,,,,,,,,,
Good,16,15,6,,,,,,,,,
Satisfactory,15,13,22,,,,,,,,,
Moderate,,,3,,,,,,,,,
Poor,,,,,,,,,,,,
Very poor,,,,,,,,,,,,
Severe,,,,,,,,,,,,
,,,,,,,,,,,,
SP,,,,,,,,,,,,
% of Availability,100,100,100,100,,,,,,,,
