Date,January,February,March,April,May,June,July,August,September,October,November,December
01,,167,164,168,118,78,70,53,164,217,266,260
02,368,203,168,,42,76,75,51,68,172,312,305
03,208,204,209,52,45,78,50,62,39,134,223,330
04,188,238,211,130,,66,71,53,86,58,241,353
05,152,286,119,145,,61,51,26,118,73,251,354
06,188,219,95,134,172,64,48,30,150,109,317,326
07,353,250,60,82,120,65,37,40,121,98,300,265
08,257,251,110,118,165,101,46,78,114,131,302,335
09,247,265,88,162,230,133,36,34,127,,331,325
10,144,250,263,152,174,113,57,57,110,150,286,320
11,263,258,126,174,178,,31,65,73,175,133,313
12,336,257,178,159,190,71,33,44,63,147,157,326
13,377,,68,177,178,64,37,35,113,127,219,285
14,216,,58,240,130,57,38,52,120,110,261,129
15,341,94,68,161,137,61,35,53,146,106,294,249
16,252,192,97,99,121,55,41,33,87,122,212,231
17,192,198,123,189,154,44,53,35,,152,151,221
18,231,179,153,,184,34,39,48,,208,204,203
19,150,272,118,117,107,33,42,73,,311,220,238
20,,183,75,,109,42,28,36,93,,103,358
21,,218,159,,71,,32,34,79,264,196,378
22,278,152,120,170,110,37,,21,21,220,180,315
23,268,175,99,140,,47,,33,32,174,226,365
24,107,170,117,98,157,45,,40,43,153,299,368
25,268,154,,265,137,42,47,104,32,252,275,346
26,277,,134,,102,50,50,101,111,249,,285
27,282,172,156,193,111,38,48,32,132,222,330,308
28,266,114,50,193,191,42,41,26,164,246,304,348
29,267,,,180,176,43,35,45,236,264,248,324
30,247,,54,176,97,62,29,76,235,245,275,237
31,102,,82,,155,,44,158,,237,,230
